DATE,VIXCLS_DGS10
2016-04-20,7.17837837837837837838
2016-04-21,7.42021276595744680851
2016-04-22,6.99470899470899470899
2016-04-25,7.37172774869109947644
2016-04-26,7.19587628865979381443
2016-04-27,7.36363636363636363636
2016-04-28,8.27173913043478260870
2016-04-29,8.57923497267759562842
2016-05-02,7.80851063829787234043
2016-05-03,8.61878453038674033149
2016-05-04,8.96648044692737430168
2016-05-05,9.03977272727272727273
2016-05-06,8.22346368715083798883
2016-05-09,8.23163841807909604520
2016-05-10,7.70056497175141242938
2016-05-11,8.49132947976878612717
2016-05-12,8.23428571428571428571
2016-05-13,8.79532163742690058480
2016-05-16,8.38857142857142857143
2016-05-17,8.84659090909090909091
2016-05-18,8.52941176470588235294
2016-05-19,8.82702702702702702703
2016-05-20,8.21621621621621621622
2016-05-23,8.59782608695652173913
2016-05-24,7.75268817204301075269
2016-05-25,7.43315508021390374332
2016-05-26,7.33879781420765027322
2016-05-27,7.09189189189189189189
2016-05-30,.
2016-05-31,7.71195652173913043478
2016-06-01,7.67567567567567567568
2016-06-02,7.53038674033149171271
2016-06-03,7.87719298245614035088
2016-06-06,7.89017341040462427746
2016-06-07,8.16860465116279069767
2016-06-08,8.23391812865497076023
2016-06-09,8.71428571428571428571
2016-06-10,10.38414634146341463415
2016-06-13,12.94444444444444444444
2016-06-14,12.65432098765432098765
2016-06-15,12.58750000000000000000
2016-06-16,12.33757961783439490446
2016-06-17,11.98148148148148148148
2016-06-20,11.00000000000000000000
2016-06-21,10.80701754385964912281
2016-06-22,12.52662721893491124260
2016-06-23,9.91379310344827586207
2016-06-24,16.40764331210191082803
2016-06-27,16.33561643835616438356
2016-06-28,12.84246575342465753425
2016-06-29,11.09333333333333333333
2016-06-30,10.48993288590604026846
2016-07-01,10.11643835616438356164
2016-07-04,.
2016-07-05,11.37226277372262773723
2016-07-06,10.84057971014492753623
2016-07-07,10.54285714285714285714
2016-07-08,9.63503649635036496350
2016-07-11,9.46853146853146853147
2016-07-12,8.85620915032679738562
2016-07-13,8.81081081081081081081
2016-07-14,8.37908496732026143791
2016-07-15,7.91875000000000000000
2016-07-18,7.82389937106918238994
2016-07-19,7.67307692307692307692
2016-07-20,7.40251572327044025157
2016-07-21,8.11464968152866242038
2016-07-22,7.65605095541401273885
2016-07-25,8.14556962025316455696
2016-07-26,8.31210191082802547771
2016-07-27,8.44078947368421052632
2016-07-28,8.36842105263157894737
2016-07-29,8.13013698630136986301
2016-08-01,8.23841059602649006623
2016-08-02,8.62580645161290322581
2016-08-03,8.29677419354838709677
2016-08-04,8.22516556291390728477
2016-08-05,7.16352201257861635220
2016-08-08,7.23270440251572327044
2016-08-09,7.52258064516129032258
2016-08-10,8.03333333333333333333
2016-08-11,7.43949044585987261146
2016-08-12,7.64900662251655629139
2016-08-15,7.61935483870967741935
2016-08-16,8.05095541401273885350
2016-08-17,7.81410256410256410256
2016-08-18,7.47058823529411764706
2016-08-19,7.17721518987341772152
2016-08-22,7.91612903225806451613
2016-08-23,7.98709677419354838710
2016-08-24,8.62179487179487179487
2016-08-25,8.62658227848101265823
2016-08-26,8.42592592592592592593
2016-08-29,8.24203821656050955414
2016-08-30,8.35668789808917197452
2016-08-31,8.49367088607594936709
2016-09-01,8.58598726114649681529
2016-09-02,7.48750000000000000000
2016-09-05,.
2016-09-06,7.75483870967741935484
2016-09-07,7.75324675324675324675
2016-09-08,7.77018633540372670807
2016-09-09,10.47904191616766467066
2016-09-12,9.02380952380952380952
2016-09-13,10.31791907514450867052
2016-09-14,10.67058823529411764706
2016-09-15,9.53216374269005847953
2016-09-16,9.04117647058823529412
2016-09-19,9.13529411764705882353
2016-09-20,9.42011834319526627219
2016-09-21,8.01204819277108433735
2016-09-22,7.37423312883435582822
2016-09-23,7.58641975308641975309
2016-09-26,9.11949685534591194969
2016-09-27,8.39743589743589743590
2016-09-28,7.89171974522292993631
2016-09-29,8.98717948717948717949
2016-09-30,8.30625000000000000000
2016-10-03,8.32515337423312883436
2016-10-04,8.06508875739644970414
2016-10-05,7.55232558139534883721
2016-10-06,7.33714285714285714286
2016-10-07,7.79190751445086705202
2016-10-10,.
2016-10-11,8.67796610169491525424
2016-10-12,8.88826815642458100559
2016-10-13,9.53714285714285714286
2016-10-14,8.95555555555555555556
2016-10-17,9.15819209039548022599
2016-10-18,8.73142857142857142857
2016-10-19,8.18750000000000000000
2016-10-20,7.81250000000000000000
2016-10-21,7.66666666666666666667
2016-10-24,7.35593220338983050847
2016-10-25,7.60451977401129943503
2016-10-26,7.95530726256983240223
2016-10-27,8.30270270270270270270
2016-10-28,8.70430107526881720430
2016-10-31,9.27173913043478260870
2016-11-01,10.14207650273224043716
2016-11-02,10.67403314917127071823
2016-11-03,12.13186813186813186813
2016-11-04,12.57541899441340782123
2016-11-07,10.22404371584699453552
2016-11-08,9.96808510638297872340
2016-11-09,6.9468599033816425
2016-11-10,6.8558139534883721
2016-11-11,.
2016-11-14,6.4932735426008969
2016-11-15,5.9955156950672646
2016-11-16,6.1801801801801802
2016-11-17,5.8296943231441048
2016-11-18,5.4914529914529915
2016-11-21,5.3304721030042918
2016-11-22,5.3722943722943723
2016-11-23,5.2669491525423729
2016-11-24,.
2016-11-25,5.2288135593220339
2016-11-28,5.6681034482758621
2016-11-29,5.6086956521739130
2016-11-30,5.6244725738396624
2016-12-01,5.7428571428571429
2016-12-02,5.8833333333333333
2016-12-05,5.0794979079497908
2016-12-06,4.9330543933054393
2016-12-07,5.2222222222222222
2016-12-08,5.2666666666666667
2016-12-09,4.7570850202429150
2016-12-12,5.0763052208835341
2016-12-13,5.1290322580645161
2016-12-14,5.1929133858267717
2016-12-15,4.9192307692307692
2016-12-16,4.6923076923076923
2016-12-19,4.6102362204724409
2016-12-20,4.4552529182879377
2016-12-21,4.4196078431372549
2016-12-22,4.4823529411764706
2016-12-23,4.4862745098039216
2016-12-26,.
2016-12-27,4.6653696498054475
2016-12-28,5.1593625498007968
2016-12-29,5.3694779116465863
2016-12-30,5.7306122448979592
2017-01-02,.
2017-01-03,5.2448979591836735
2017-01-04,4.8170731707317073
2017-01-05,4.9240506329113924
2017-01-06,4.6776859504132231
2017-01-09,4.8571428571428571
2017-01-10,4.8277310924369748
2017-01-11,4.7310924369747899
2017-01-12,4.8898305084745763
2017-01-13,4.6791666666666667
2017-01-16,.
2017-01-17,5.0944206008583691
2017-01-18,5.1570247933884298
2017-01-19,5.1740890688259109
2017-01-20,4.6532258064516129
2017-01-23,4.8838174273858921
2017-01-24,4.4817813765182186
2017-01-25,4.2727272727272727
2017-01-26,4.2350597609561753
2017-01-27,4.2489959839357430
