timeOpen,marketCap
2024-07-26 00:00:00+00:00,1340006377389.0
2024-07-25 00:00:00+00:00,1297746222202.46
2024-07-24 00:00:00+00:00,1289901286822.95
2024-07-23 00:00:00+00:00,1300762573330.26
2024-07-22 00:00:00+00:00,1333416492641.59
2024-07-21 00:00:00+00:00,1344591292880.38
2024-07-20 00:00:00+00:00,1325061487221.58
2024-07-19 00:00:00+00:00,1316050877556.13
2024-07-18 00:00:00+00:00,1262047185003.48
2024-07-17 00:00:00+00:00,1264876808968.35
2024-07-16 00:00:00+00:00,1284144530410.43
2024-07-15 00:00:00+00:00,1279638364954.2
2024-07-14 00:00:00+00:00,1198755021571.63
2024-07-13 00:00:00+00:00,1168067978181.0
2024-07-12 00:00:00+00:00,1141786144917.27
2024-07-11 00:00:00+00:00,1130840802043.28
2024-07-10 00:00:00+00:00,1138673101575.64
2024-07-09 00:00:00+00:00,1143927440649.47
2024-07-08 00:00:00+00:00,1118206962401.32
2024-07-07 00:00:00+00:00,1101324021018.89
2024-07-06 00:00:00+00:00,1149721701454.25
2024-07-05 00:00:00+00:00,1117355596306.79
2024-07-04 00:00:00+00:00,1123568935037.48
2024-07-03 00:00:00+00:00,1186592344846.68
2024-07-02 00:00:00+00:00,1223171892635.89
2024-07-01 00:00:00+00:00,1239386428568.86
2024-06-30 00:00:00+00:00,1235944779945.39
2024-06-29 00:00:00+00:00,1200610071822.96
2024-06-28 00:00:00+00:00,1189406366262.41
2024-06-27 00:00:00+00:00,1214717875147.04
2024-06-26 00:00:00+00:00,1199038781431.77
2024-06-25 00:00:00+00:00,1218587029578.41
2024-06-24 00:00:00+00:00,1188446806983.14
2024-06-23 00:00:00+00:00,1245656822237.84
2024-06-22 00:00:00+00:00,1266764455740.04
2024-06-21 00:00:00+00:00,1263661931352.75
2024-06-20 00:00:00+00:00,1278081520105.03
2024-06-19 00:00:00+00:00,1280662535002.41
2024-06-18 00:00:00+00:00,1284195191637.24
2024-06-17 00:00:00+00:00,1310771374540.33
2024-06-16 00:00:00+00:00,1313672583954.16
2024-06-15 00:00:00+00:00,1304788441997.33
2024-06-14 00:00:00+00:00,1301221571383.53
2024-06-13 00:00:00+00:00,1315894956574.15
2024-06-12 00:00:00+00:00,1345134120906.92
2024-06-11 00:00:00+00:00,1327182056471.57
2024-06-10 00:00:00+00:00,1370130002868.6
2024-06-09 00:00:00+00:00,1372773642949.49
