Month,Gold Ounces,Gold Volume,Gold Transfers,Silver Ounces,Silver Volume,Silver Transfers,name,open,high,low,close,BTC Volume,marketCap,timestamp
2022-08,19.3,34.1,"4,517",244.2,4.82,"1,497",BTC,23336.7180518604,25135.5903960686,19600.7850348256,20049.7631893726,894.2,383710102294.98,2022-08-31T23:59:59.999Z
2022-07,21.9,38.0,"4,819",222.9,4.25,"1,256",BTC,19820.4704741998,24572.5794217469,18966.9506341661,23336.8956049843,927.6,445941074223.04,2022-07-31T23:59:59.999Z
2022-06,19.9,36.5,"5,327",242.3,5.21,"1,807",BTC,31792.5538087129,31957.2843170438,17708.6237125896,19784.7264946249,923.9,377526215552.49,2022-06-30T23:59:59.999Z
2022-05,18.3,33.7,"5,122",243.9,5.34,"1,798",BTC,37713.265089741,39902.9502136511,26350.4901742248,31792.3099432754,1089.4,605797887876.49,2022-05-31T23:59:59.999Z
2022-04,18.2,35.2,"4,605",233.3,5.73,"1,620",BTC,45554.1638120546,47313.4768544721,37697.9427790922,37714.875545299,830.1,717596901508.72,2022-04-30T23:59:59.999Z
2022-03,19.6,38.2,"5,347",233.7,5.9,"2,026",BTC,43194.5042113042,48086.8367491568,37260.2017138385,45538.6769223388,830.9,865202119215.74,2022-03-31T23:59:59.999Z
2022-02,17.2,31.8,"4,529",191.2,4.49,"1,641",BTC,38481.7653685119,45661.1731433747,34459.2177282867,43193.2340330233,671.3,819414782676.49,2022-02-28T23:59:59.999Z
2022-01,18.0,32.7,"4,619",201.0,4.65,"1,646",BTC,46311.744663041,47881.4062331606,33184.0595656615,38483.126309273,924.0,729073641687.68,2022-01-31T23:59:59.999Z
2021-12,15.8,28.3,"4,453",208.9,4.69,"1,452",BTC,56907.9667338266,59041.6852434855,42874.6168583905,46306.4461226996,957.0,875939356678.79,2021-12-31T23:59:59.999Z
2021-11,14.6,26.5,"4,095",171.6,4.15,"1,424",BTC,61320.4494915952,68789.6259389221,53569.7639630968,57005.4254735998,1053.3,1076689232562.09,2021-11-30T23:59:59.999Z
2021-10,15.2,26.9,"3,951",192.8,4.49,"1,510",BTC,43816.7406442989,66930.3872709899,43320.0229785376,61318.957766606,1153.1,1156485845063.1,2021-10-31T23:59:59.999Z
2021-09,14.2,25.2,"3,989",179.7,4.19,"1,511",BTC,47099.77486941,52853.7637963,39787.6097979604,43790.8956254849,1102.1,824619217607.52,2021-09-30T23:59:59.999Z
2021-08,16.4,29.2,"3,725",214.4,5.15,"1,514",BTC,41460.84408133,50482.07640834,37458.00399335,47166.68794545,1065.6,886869903602.64,2021-08-31T23:59:59.999Z
2021-07,15.4,27.9,"3,440",221.1,5.69,"1,538",BTC,35035.98271227,42235.54770874,29360.95583827,41626.19567624,878.0,781431379811.19,2021-07-31T23:59:59.999Z
2021-06,18.1,33.3,"4,713",256.8,6.93,"1,943",BTC,37293.79237447,41295.26857449,28893.62165844,35040.83724889,1189.6,656852513237.54,2021-06-30T23:59:59.999Z
2021-05,18.0,33.3,"4,447",265.7,7.3,"1,830",BTC,57714.66485835,59519.35442559,30681.49691178,37332.85368874,1976.6,698990486184.97,2021-05-31T23:59:59.999Z
2021-04,18.6,32.8,"4,381",227.2,5.83,"1,749",BTC,58926.56414734,64863.0989077,47159.48584083,57750.17734563,1844.5,1079669884319.7,2021-04-30T23:59:59.999Z
2021-03,19.9,34.3,"5,446",263.6,6.75,"2,155",BTC,45159.50305253,61683.86401412,45115.09311478,58918.83271375,1681.2,1100016786762.56,2021-03-31T23:59:59.999Z
2021-02,18.8,34.1,"4,650",336.2,9.2,"2,737",BTC,33114.57724298,58330.57214185,32384.22810648,45137.77046805,2267.2,841428977514.57,2021-02-28T23:59:59.999Z
2021-01,18.8,35.1,"4,669",258.6,6.7,"1,898",BTC,28994.00891641,41946.73935079,28722.75527058,33114.35774753,2153.5,616452744533.29,2021-01-31T23:59:59.999Z
2020-12,18.9,35.1,"4,372",266.1,6.62,"1,977",BTC,19633.77044727,29244.87668786,17619.53238938,29001.71982218,1212.3,539051138107.79,2020-12-31T23:59:59.999Z
2020-11,18.4,34.2,"5,111",255.1,6.13,"1,919",BTC,13780.99480514,19749.26369425,13243.159866,19625.83502949,1140.9,364229729425.88,2020-11-30T23:59:59.999Z
2020-10,15.8,30.0,"4,156",226.7,5.5,"1,497",BTC,10795.25474253,14028.21429317,10416.68920469,13780.99470249,1050.9,255372071116.28,2020-10-31T23:59:59.999Z
2020-09,18.8,36.2,"4,670",288.9,7.48,"2,269",BTC,10802.03547482,12059.87014159,9901.90575533,10784.49157795,1174.8,199556965503.78,2020-09-30T23:59:59.999Z
2020-08,22.1,43.5,"5,077",339.3,9.12,"3,087",BTC,11382.78588591,13149.69444935,104.61895563,10804.94121976,554.1,199630473235.11,2020-08-31T23:59:59.999Z
2020-07,19.2,35.4,"4,096",316.0,6.45,"2,392",BTC,9145.98505502,11415.8638958,8977.01563525,11323.4664207,23.2,208895308529.07,2020-07-31T23:59:59.999Z
2020-06,20.6,35.7,"4,211",276.8,4.9,"1,895",BTC,9463.6056622,10199.5649719,8975.52585473,9137.99340026,15.7,168315606321.29,2020-06-30T23:59:59.999Z
2020-05,22.3,38.3,"3,900",295.5,4.8,"2,224",BTC,8672.7819143,9996.74335304,8374.32297508,9461.05891806,27.8,173997151929.68,2020-05-31T23:59:59.999Z
2020-04,23.9,40.2,"4,372",281.2,4.23,"1,817",BTC,6437.31921486,9440.65067326,6202.37351173,8658.55417975,67.0,158922133909.09,2020-04-30T23:59:59.999Z
2020-03,29.2,46.4,"6,573",431.5,6.44,"2,461",BTC,8599.7583441,9167.69579623,4106.98075029,6438.64476637,32.8,117814077266.54,2020-03-31T23:59:59.999Z
