timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-26T00:00:00.000Z";"2024-10-26T23:59:59.999Z";"2024-10-26T20:31:00.000Z";"2024-10-26T02:13:00.000Z";"2781";66628.7370038706;67317.9181596119;66360.5955044004;67014.6977283094;19588098156.32;1325286022321.48;"2024-10-26T23:59:59.999Z"
"2024-10-25T00:00:00.000Z";"2024-10-25T23:59:59.999Z";"2024-10-25T14:32:00.000Z";"2024-10-25T23:25:00.000Z";"2781";68165.2973724389;68722.1594927425;65521.7934506881;66642.4107304263;41469984305.66;1317385748797.48;"2024-10-25T23:59:59.999Z"
"2024-10-24T00:00:00.000Z";"2024-10-24T23:59:59.999Z";"2024-10-24T21:24:00.000Z";"2024-10-24T00:24:00.000Z";"2781";66653.7041571813;68798.9619867211;66454.0995567515;68161.053337619;31414428647.2;1347797865139.47;"2024-10-24T23:59:59.999Z"
"2024-10-23T00:00:00.000Z";"2024-10-23T23:59:59.999Z";"2024-10-23T00:01:00.000Z";"2024-10-23T18:21:00.000Z";"2781";67362.3744214737;67402.744623551;65188.0352924195;66432.1982471759;32263980353.23;1313495275869.46;"2024-10-23T23:59:59.999Z"
"2024-10-22T00:00:00.000Z";"2024-10-22T23:59:59.999Z";"2024-10-22T22:57:00.000Z";"2024-10-22T00:34:00.000Z";"2781";67360.7027255461;67801.5769977652;66581.3679788567;67361.4026645272;31808472565.82;1331842439476.36;"2024-10-22T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-21T23:59:59.999Z";"2024-10-21T00:32:00.000Z";"2024-10-21T15:13:00.000Z";"2781";69002.0001468977;69462.7367822244;66829.8534677336;67367.8525561409;37498611780.2;1331798086167.27;"2024-10-21T23:59:59.999Z"
"2024-10-20T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T22:53:00.000Z";"2024-10-20T03:09:00.000Z";"2781";68364.1784603044;69359.0070607416;68105.7205055133;69001.7066212849;18975847518.28;1364212669154.26;"2024-10-20T23:59:59.999Z"
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T03:18:00.000Z";"2024-10-19T17:03:00.000Z";"2781";68418.9766619904;68668.0058104846;68024.6382348537;68362.7331098485;14443497907.64;1351535266982.96;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T18:47:00.000Z";"2024-10-18T00:57:00.000Z";"2781";67419.1087252549;68969.7469240407;67177.818198958;68418.7890489052;36857165014.36;1352611490621.36;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T00:38:00.000Z";"2024-10-17T13:37:00.000Z";"2781";67617.0795713375;67912.2076398065;66647.391211274;67399.8334924398;32790898510.76;1332816990035.49;"2024-10-17T23:59:59.999Z"
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T11:48:00.000Z";"2024-10-16T01:12:00.000Z";"2781";67042.4618218177;68375.2929488011;66758.7255092654;67612.7207776042;38195189533.82;1336696892492.18;"2024-10-16T23:59:59.999Z"
"2024-10-15T00:00:00.000Z";"2024-10-15T23:59:59.999Z";"2024-10-15T14:02:00.000Z";"2024-10-15T15:09:00.000Z";"2781";66050.3687270292;67881.6795865567;64809.1969471504;67041.1071653338;48863870878.62;1325307318851.9;"2024-10-15T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-14T23:59:59.999Z";"2024-10-14T23:01:00.000Z";"2024-10-14T00:53:00.000Z";"2781";62848.3994880925;66482.4943857198;62442.1539998429;66046.1280687548;43706958055.79;1305664072036.41;"2024-10-14T23:59:59.999Z"
"2024-10-13T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-13T00:33:00.000Z";"2024-10-13T15:31:00.000Z";"2781";63192.9435754787;63272.6529630129;62035.6366902561;62851.3749169602;18177529689.88;1242341595990.99;"2024-10-13T23:59:59.999Z"
"2024-10-12T00:00:00.000Z";"2024-10-12T23:59:59.999Z";"2024-10-12T15:15:00.000Z";"2024-10-12T00:00:00.000Z";"2781";62444.6174061501;63448.7832440021;62443.2713529987;63193.0230702875;16744110885.86;1249123856891.37;"2024-10-12T23:59:59.999Z"
"2024-10-11T00:00:00.000Z";"2024-10-11T23:59:59.999Z";"2024-10-11T19:13:00.000Z";"2024-10-11T01:37:00.000Z";"2781";60275.4608346571;63400.8698799473;60046.125828387;62445.0886070974;30327141594.18;1234303474603.03;"2024-10-11T23:59:59.999Z"
"2024-10-10T00:00:00.000Z";"2024-10-10T23:59:59.999Z";"2024-10-10T12:03:00.000Z";"2024-10-10T18:27:00.000Z";"2781";60581.9296868773;61236.7231707069;58895.2078078197;60274.4980637861;30452813570.16;1191400599851.04;"2024-10-10T23:59:59.999Z"
"2024-10-09T00:00:00.000Z";"2024-10-09T23:59:59.999Z";"2024-10-09T05:58:00.000Z";"2024-10-09T20:56:00.000Z";"2781";62131.7261033116;62508.8357368894;60314.6143862386;60582.1009695389;27670982363.46;1197429647366.86;"2024-10-09T23:59:59.999Z"
