,,,,,,,,,,,,,,,,Major,Middle,Small,towns,,,,,,,,,,,,,,,,Yamagata-,Fukushima-,,Utsunomiya-,Maebashi-,,,Ku-areas,Yokohama-,,,,,,,,,,,,,,,,Wakayama-,,,,Hiroshima-,Yamaguchi-,Tokushima-,Takamatsu-,Matsuyama-,,,,Nagasaki-,Kumamoto-,,Miyazaki-,Kagoshima-,,Kawasaki-,Sagamihara-,Hamamatsu-,,Kitakyushu-,,,,,
,,,,,,,,,,,,,,,,cities,cities,citiesA,& villages,Hokkaido,Tohoku,Kanto,Hokuriku,Tokai,Kinki,Chugoku, Shikoku,Kyushu,Okinawa,Sapporo-shi,Aomori-shi,Morioka-shi,Sendai-shi,Akita-shi,shi,shi,Mito-shi,shi,shi,Saitama-shi,Chiba-shi,of Tokyo,shi,Niigata-shi,Toyama-shi,Kanazawa-shi,Fukui-shi,Kofu-shi,Nagano-shi,Gifu-shi,Shizuoka-shi,Nagoya-shi,Tsu-shi,Otsu-shi,Kyoto-shi,Osaka-shi,Kobe-shi,Nara-shi,shi,Tottori-shi,Matsue-shi,Okayama-shi,shi,shi,shi,shi,shi,Kochi-shi,Fukuoka-shi,Saga-shi,shi,shi,Oita-shi,shi,shi,Naha-shi,shi,shi,shi,Sakai-shi,shi,,,,,
0210Y,2023cyA     ,            ,01,,4,,有         業         人       員(人),,,,,,,,,0.99,1.04,1.07,1.18,0.89,1.08,1.06,1.15,1.15,0.99,1.03,1.01,1.01,1.04,0.92,0.94,0.97,0.95,0.87,1.11,0.98,0.94,1.13,0.99,0.97,0.72,1.1,1.03,1.01,1.16,1.17,0.98,0.99,1.04,1.15,0.98,1.19,1.11,0.97,0.89,0.96,0.9,0.95,0.98,1,1.04,1.05,1.06,0.82,1.03,1.07,0.94,1.1,1.04,0.91,0.92,0.95,1.09,0.99,1.02,1.01,0.95,0.82,1.03,0.68,0.81,,Num. of earners per household (persons),,,
0210Y,2023cyA     ,            ,01,,5,,世    帯    主    の    年    齢(歳),,,,,,,,,57.8,59.8,61,60.7,61.9,59.7,58.6,58.3,59.8,60.1,60.8,60.2,60,60.2,58.9,58.9,59.7,56.2,61.6,55.6,52.6,60.1,57.8,61.5,56.3,59.2,57.9,57.2,60,57.5,61.7,65.5,62.9,59.8,61.1,58,52.8,63,57.3,64.1,58.3,57.4,61.2,62.7,61,56.7,60.5,55.5,63.4,60.5,58.5,62.5,55.3,54.1,56,63,59.4,52.7,63.2,56.8,58.3,58.4,57,63,63.9,65.5,,Age of household heads (years old),,,
0210Y,2023cyA     ,            ,01,,6,,持             家              率(％),,,,,,,,,67,75.7,83.5,86.8,74.3,77.4,74.4,79.4,83.3,76.5,78.1,81.8,70.1,60.7,62.8,78.3,72.6,58.7,80.8,65.2,62.4,76.3,75.9,77,75.3,67.3,69.7,71.8,78.7,80.1,88.1,87.3,77,73.4,85.4,69.4,65.7,93.9,69,79.9,58.4,68.5,82.7,76,77.1,78.5,76.1,58.6,73.4,64.5,79.9,91,66,50.7,57.3,65.7,62,63.5,62.8,56.4,45.5,52.5,71.2,82.5,81,78.2,,Rate of owned dwellings (%),,,
0210Y,2023cyA     ,            ,01,,7,,家賃・地代を支払っている世帯の割合(％),,,,,,,,,28.8,21.8,14.3,12.5,24.1,20.8,22.5,16.8,14.5,21.4,19.3,16.1,25.8,34.9,35.3,21.7,27.2,36.5,17.7,33.5,38.1,21.9,23.4,18.9,16.5,26.1,27.4,25,14.2,19.8,11.6,10.2,21.2,24.6,15.9,30,27.9,6,30,20.8,38,26.5,16.9,21.6,21.9,16.4,18,36.4,26,30.5,19.6,5.9,26.7,42.4,41.1,30.1,33.6,30.4,32.3,42.4,48,44.1,18.2,16.6,19.3,17.5,,Rate of rented dwellings & land (%),,,
0210Y,2023cyA     ,            ,01,,8,,消費支出,,,,,,,,,248062,249218,247460,240722,232409,230889,260686,259170,244800,248818,229463,233490,230163,196053,244480,212623,245926,223996,228649,235685,261274,261988,280396,252685,255697,208876,279319,263825,241794,264541,265079,234708,223439,262284,269015,232366,254012,281715,250989,247571,222395,221983,262528,225446,206405,225273,249763,240977,215452,253435,232989,200072,232139,245679,208851,225799,215310,252847,229687,238439,207763,243950,230651,233966,243477,238101,,Consumption expenditures,,,
0210Y,2023cyA     ,            ,01,,9,,,食料,,,,,,,,67562,66946,67547,65430,58804,63437,70324,68223,69007,69017,62486,59980,60789,58668,58931,61762,65089,60129,64752,59188,60449,61426,72648,65819,65919,59586,78027,68718,65067,70564,75128,61255,59531,62580,65246,60797,74275,69367,68019,66200,69850,66961,71190,64279,52724,58983,64574,65205,56119,59720,62915,63426,64193,63102,56072,63163,58727,57973,61660,60843,57290,60545,64399,64814,60139,62101,,Food,,,
0210Y,2023cyA     ,            ,01,,10,,,,穀類,,,,,,,4914,5325,5331,5231,5078,4802,5156,5189,5525,5548,5102,4765,4744,4881,5088,5184,5216,4164,4656,4583,4994,4410,5297,5586,4558,4023,5305,5007,5225,5474,6245,4779,5106,5445,5446,4474,5215,5286,5554,5180,5544,5070,5607,6066,4442,4762,5080,4923,4566,4499,4825,5447,4722,4435,4009,5677,4053,4192,4664,4856,4444,4296,4458,5488,4779,5122,,Cereals,,,
0210Y,2023cyA     ,            ,01,,11,,,,,米,,,,,,1125,1301,1306,1294,1469,1167,1208,1216,1391,1280,1159,1066,1183,1545,1399,1273,1378,851,1211,1240,1455,932,1185,1551,1051,886,1115,1115,1359,1365,1482,1296,1147,1548,1214,1344,1197,1101,1174,1216,1239,1137,1282,1567,932,1142,974,973,1118,1018,915,1283,1100,946,920,1562,1160,1101,1215,1259,1219,964,1111,1719,1075,1453,,Rice,,,
0210Y,2023cyA     ,            ,01,,12,,,,,パン,,,,,,2183,2291,2259,2117,1941,1773,2220,2208,2351,2558,2236,2139,2045,1848,1994,1972,1974,1774,1639,1596,1932,1922,2178,2307,2090,1760,2452,2181,2116,2177,2752,2041,2138,2104,2540,1789,2233,2351,2559,2382,2508,2509,2466,2818,1957,1885,2345,2336,1936,2054,2132,2384,2118,2067,1780,2448,1562,1826,1956,2154,1907,1890,1949,2119,2166,2146,,Bread,,,
0210Y,2023cyA     ,            ,01,,13,,,,,麺類,,,,,,1247,1346,1373,1440,1317,1539,1335,1408,1370,1335,1333,1228,1154,1103,1346,1645,1560,1238,1485,1376,1396,1233,1475,1362,1098,1087,1340,1295,1453,1550,1538,1060,1484,1405,1273,1086,1361,1353,1461,1220,1471,1106,1372,1317,1200,1407,1395,1262,1166,1006,1462,1397,1197,966,1065,1283,1018,947,1236,1146,944,1108,1118,1281,1194,1151,,Noodles,,,
